,Unnamed: 0_x,話者,I(明瞭さ),F(親密さ),C(社会階層),SessionID,Unnamed: 0_y,Number,会話概要,形式,場所,活動,話者間の関係性,収録年
788,991,T022_007_2,1.950658534631713,-1.2357227299595324,0.8416855190694912,T022_007,454,2,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年
790,992,T022_007_1,2.3502113027272484,-1.6121247997771428,1.3512786002691783,T022_007,454,2,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年
792,993,T022_007_2,1.8702118843851356,-1.0459955789831663,0.6233706967856021,T022_007,454,2,自宅からオンラインで友人と雑談,雑談,自宅,付き合い,友人知人,2018年
794,1000,T022_009_1,2.0216805958666995,-1.255071087852545,0.9123390982519024,T022_009,457,2,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年
795,1001,T022_009_2,1.6561679157529456,-0.6172604579762059,0.1756591934008441,T022_009,457,2,自宅で恋人と夕食を取りながら,雑談,自宅,食事,友人知人,2018年
796,1004,T022_012_1,2.1757832073921146,-1.6546401965446185,1.3324337291591697,T022_012,459,2,新幹線の車内で友人と雑談,雑談,交通機関_電車,移動,友人知人,2018年
797,1005,T022_012_2,2.4245853979631025,-1.8618649587494571,1.4772901389952935,T022_012,459,2,新幹線の車内で友人と雑談,雑談,交通機関_電車,移動,友人知人,2018年
798,1014,T022_015_1,2.4389278621537054,-1.639928016777192,1.2440033085194373,T022_015,461,2,飲食店で友人と誕生日会,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
799,1015,T022_015_2,2.1713923789603924,-1.4274740039724263,0.9206286201523038,T022_015,461,2,飲食店で友人と誕生日会,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
800,1016,T022_017_1,2.4951042429894086,-2.115158225452343,1.3811845431563738,T022_017,462,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
802,1017,T022_017_2,2.1011645721912564,-0.9482200949781254,0.642918833668162,T022_017,462,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
804,1018,T022_017_1,2.264268301018432,-1.7924986508364813,1.1688019626550354,T022_017,462,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
806,1019,T022_017_2,2.060392373753668,-1.0708216591545865,0.6441844776302474,T022_017,462,2,美容院で美容師と雑談,雑談,公共商業施設_商業施設,仕事・身の周りの用事,サービス場面関係,2018年
808,1020,T023_001_1,1.7489691819879436,-0.8857064649380384,0.3310352593778933,T023_001,464,2,自宅で配偶者と雑談,雑談,自宅,休息,家族,2018年
809,1021,T023_001_2,2.2483984270161157,-1.5567970132571645,1.3970461313573488,T023_001,464,2,自宅で配偶者と雑談,雑談,自宅,休息,家族,2018年
810,1028,T023_007_1,1.9985800762274863,-1.2351663373304822,0.6395310951521154,T023_007,468,2,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2018年
811,1029,T023_007_2,2.581294259759039,-1.8639865276434124,1.6395149491522385,T023_007,468,2,自宅で友人と雑談,雑談,自宅,付き合い,友人知人,2018年
812,1040,T023_013_1,2.0643108357059115,-1.5282523100371512,1.0715890441516225,T023_013,473,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2018年
813,1041,T023_013_2,1.641644416741867,-0.903397734843438,0.2610711564549998,T023_013,473,2,配偶者と車で移動中,雑談,交通機関_車,移動,家族,2018年
814,1042,T023_017_1,1.908250625047352,-1.150655094997152,0.6625014715527826,T023_017,474,2,元同僚と車で移動中,雑談,交通機関_車,移動,元同僚,2018年
815,1043,T023_017_2,2.446408307549126,-2.351932202288091,1.4913310825137411,T023_017,474,2,元同僚と車で移動中,雑談,交通機関_車,移動,元同僚,2018年
816,1044,T023_020_1,2.168200478627157,-1.6380094590752847,1.0545547621207605,T023_020,475,2,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
817,1045,T023_020_2,2.1234405032945367,-1.891800638544345,1.1170122305522876,T023_020,475,2,飲食店で友人と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,友人知人,2018年
818,1060,T024_008_1,1.8580345360276689,-1.3283875068547784,0.5983114821712011,T024_008,482,2,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2018年
819,1061,T024_008_2,2.4102523892385506,-1.565947762002818,1.1642158192703524,T024_008,482,2,飲食店で同僚と飲みながら,雑談,公共商業施設_飲食店,食事・付き合い,同僚,2018年
820,1088,W003_002_1,2.605087095413176,-2.164977870952713,1.7359167563688551,W003_002,491,2,研究機関で中学生たちが昼食を取りながら,雑談,公共商業施設_公共施設,食事,友人知人,2019年
821,1089,W003_002_2,1.57311803502388,-0.6280133604414754,0.4157784116499018,W003_002,491,2,研究機関で中学生たちが昼食を取りながら,雑談,公共商業施設_公共施設,食事,友人知人,2019年
822,1126,W007_002_1,2.100941080757435,-1.8664323614681908,0.9685458747864536,W007_002,504,2,飲食店で撮影の打合せ,会議・会合,公共商業施設_飲食店,仕事,仕事関係,2020年
823,1127,W007_002_2,2.355263109941653,-1.6569759830091786,1.2298322174543388,W007_002,504,2,飲食店で撮影の打合せ,会議・会合,公共商業施設_飲食店,仕事,仕事関係,2020年
824,1142,W009_002_1,1.945222873181707,-1.5037385643912735,0.9650393141131,W009_002,509,2,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年
826,1143,W009_002_2,2.1891022804377966,-1.5201423654568211,1.1291862269450608,W009_002,509,2,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年
828,1144,W009_002_1,2.065463113002157,-1.5934744791048905,1.0249597903139331,W009_002,509,2,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年
830,1145,W009_002_2,2.13120944708019,-1.459115089351129,0.9981937628874216,W009_002,509,2,自宅で母・娘が雑談,雑談,自宅,休息,家族,2020年
832,1146,W010_001_1,2.4058844518163496,-2.250599989732796,1.364800688897314,W010_001,511,2,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年
834,1147,W010_001_2,2.426887585407804,-2.114411105439536,1.2376882523845762,W010_001,511,2,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年
836,1148,W010_001_1,2.376300818648536,-2.3222802104548537,1.377747223465711,W010_001,511,2,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年
838,1149,W010_001_2,2.548182780375195,-2.33626380917626,1.6365112135995077,W010_001,511,2,事務所で書籍出版について打合せ,会議・会合,職場,仕事,仕事関係,2020年
