話者,I(明瞭さ),F(親密さ),C(社会階層)
C001_001_1,1.62567701888553,-0.7104167789212779,0.23424896299198736
C001_001_2,2.1996604988056006,-1.2688725415226496,0.9374088795445127
C001_002_1,1.3039394682580774,-0.4193111175365042,-0.2483079602983075
C001_002_2,2.4020762278089007,-1.7347824302976838,1.3685649952190497
C001_003_1,2.2981198455393774,-1.4666587774684496,1.0084477296726502
C001_003_2,2.327623359775574,-1.2611468894594087,0.945216873333769
C001_004_1,1.7008026700826175,-1.085208702960127,0.4369528994860481
C001_004_2,2.179188835390553,-1.3707972134489173,0.9522630556584805
C001_005_1,1.811606840953178,-0.8651095610512224,0.41216576115904935
C001_005_2,2.030471889022495,-1.0924741426238433,0.9493272929644019
C001_006_1,1.9540355332612733,-1.0131946762349802,0.7188174634780239
C001_006_2,1.992425869791791,-1.0601637734414602,0.858530304716186
C001_007_1,2.196065066142139,-1.4059775115064186,1.083300084662469
C001_007_2,1.8660633286334178,-1.1948692327743502,0.6450415838990634
C001_012_1,2.133510554641319,-1.1710669340763649,0.8648426896504128
C001_012_2,2.2099039195036307,-1.4902056897636047,1.0495180938621027
C001_013_1,2.2581559736540116,-1.313085551477194,0.9660081870818903
C001_013_2,2.0509498197755565,-1.2961504432454938,0.7393773737408852
C002_003_1,2.0925572817354876,-1.2845695689549301,0.9624867691924536
C002_003_2,1.93052658464944,-1.0019109338650718,0.8881974430615527
C002_004_1,2.3297241004357114,-1.4505382246211078,1.15886384847233
C002_004_2,1.9450883454616539,-0.9812575120192305,0.6556243861902243
C002_005_1,1.9105173761829013,-0.7327458059035891,0.4365697705657941
C002_005_2,2.2561554705169846,-1.487877109255156,1.0878379824880644
C002_006_1,2.416732438831886,-1.5117435963555095,1.0885966617002434
C002_006_2,1.3395901430780368,-0.6153042266604737,-0.046542501268986264
C002_006_1,2.253239372584678,-1.5670367420093598,1.016489602739036
C002_006_2,1.269047252578113,-0.5380629732961337,-0.03180103964937342
C002_006_1,2.1659460763392775,-1.031722719929505,0.834530376513272
C002_006_2,1.222302430304905,-0.7801968185494741,0.08770789131476263
C002_007_1,1.940253112354048,-1.0155678281982012,0.709187964504557
C002_007_2,1.533870934133483,-0.8847484147245327,0.3417771497443993
C002_008_1,2.0885112466273,-1.1601185588174912,0.8480266628919974
C002_008_2,1.6308854268919406,-0.5545129169916946,0.26377389820345426
C002_013_1,2.0773727764207566,-0.8968268945623161,0.8869133732642873
C002_013_2,1.7714524600011363,-0.695803574314061,0.3039198196591035
C002_013_1,2.017983634892248,-0.8771853146853147,0.8736405180499288
C002_013_2,1.7698261641923616,-0.6930974424786875,0.4576720186127935
C002_014_1,1.7797845718637797,-1.0743962341383544,0.8077665736966317
C002_014_2,2.2931953949325945,-0.7079418142392487,0.6655789329560492
C002_014_1,2.1911546014916397,-1.5130931974016602,1.0604044342680956
C002_014_2,1.7072016997053574,-0.4790180694246313,0.07068889688537029
C002_015_1,2.3333347713732278,-1.3282474007575018,1.069253021471643
C002_015_2,1.9186349316191067,-1.0285059692652974,0.6482828030645837
C002_016_1,2.299974803750572,-1.4819650586752393,1.0853830314827768
C002_016_2,1.711438818547407,-1.0832170569017148,0.4011814748830032
K001_003_1,2.566614095398682,-2.167718495787859,1.4318191719550977
K001_003_2,1.848668559112,-0.7344156165672273,0.5065540397959304
K001_003_1,2.469905728788978,-1.7602705186247707,1.155643684488434
K001_003_2,1.92305882958275,-0.9194380061025702,0.6624887040724113
K001_004_1,2.3954589287279737,-1.3363627814498364,0.9840320168169135
K001_004_2,2.011774871083086,-1.1336539516512454,0.6911367767760414
K001_008_1,2.303350295614319,-1.3421986507038959,0.9475823035193197
K001_008_2,2.1624114788651654,-1.4770996385077035,1.0734395095223828
K001_009_1,2.272699546326772,-0.8628267231809466,0.5047956154373143
