,話者,I(明瞭さ),F(親密さ),C(社会階層)
0,C001_001_1,1.630626627748802,-0.7383708262977287,0.25278988130198987
1,C001_001_2,2.197615457336844,-1.2876598326229665,0.9190771296108394
2,C001_002_1,1.3188958073132708,-0.4393318340104469,-0.24000655606344848
3,C001_002_2,2.4158466526363687,-1.7469686346483,1.3846281042982187
4,C001_003_1,2.2946278797959594,-1.47133709161001,1.00880283821909
5,C001_003_2,2.33438354601367,-1.2598467708761825,0.9324962659387392
6,C001_004_1,1.7022496483077394,-1.0811416897571966,0.43668704704799216
7,C001_004_2,2.178890444148383,-1.3756947868573224,0.9504106234060954
8,C001_005_1,1.821100177447976,-0.8608883843042642,0.42183755945781615
9,C001_005_2,2.015882603400303,-1.0812527074390579,0.9275330788552437
10,C001_006_1,1.9453387095067256,-0.9826657691013126,0.7045190336285427
11,C001_006_2,2.0059409442805345,-1.0873075568927444,0.8700470599572763
12,C001_007_1,2.2037680834361337,-1.4176504337002607,1.097426201869195
13,C001_007_2,1.9289763622901726,-1.3131478390723819,0.7643287501931095
14,C001_012_1,2.139247417250117,-1.1912518413945492,0.8730699172245234
15,C001_012_2,2.2114800350582704,-1.4966303111243016,1.0525289299180858
16,C001_013_1,2.2624995555785397,-1.317396409998322,0.978473258766743
17,C001_013_2,2.0509508463385093,-1.2983748560661572,0.7376913059059004
18,C002_003_1,2.0925572817354876,-1.2845695689549301,0.9624867691924536
19,C002_003_2,1.93052658464944,-1.0019109338650718,0.8881974430615527
20,C002_004_1,2.3171317943288177,-1.4700243129289383,1.1663887216071396
21,C002_004_2,1.9219425699378758,-0.9993288760573366,0.6581849672703192
22,C002_005_1,1.9140440757908435,-0.7212051665243379,0.43387715412457456
23,C002_005_2,2.2313876759380653,-1.480941510896718,1.0796347190062965
24,C002_006_1,2.4218367413566075,-1.5449865905355136,1.128773554150094
25,C002_006_2,1.3218741889760635,-0.5972529207451845,-0.06662418860260462
26,C002_006_1,2.2209971604717196,-1.5810395240976003,1.0163428687981229
27,C002_006_2,1.275591769377546,-0.5407570598838372,-0.024229074889868155
28,C002_006_1,2.186099714507194,-1.0854465888689404,0.883199426653087
29,C002_006_2,1.2618873953666072,-0.822892550728585,0.1128898416430398
30,C002_007_1,1.945615876347677,-0.9998878072355698,0.7088336712238567
31,C002_007_2,1.5280202161771888,-0.8674693740560492,0.33031214264537656
32,C002_008_1,2.103382378575902,-1.1825151795821753,0.8637806246855281
33,C002_008_2,1.6157773597691347,-0.5361602376642064,0.24904925223396546
34,C002_013_1,2.100626914339898,-0.9260864838420355,0.9055288232166951
35,C002_013_2,1.8107754685790887,-0.7755377664276596,0.4016283005537208
36,C002_013_1,2.0238428889717817,-0.8936575391893518,0.8813757274319881
37,C002_013_2,1.7837840984503615,-0.6950457951706912,0.4663574434447
38,C002_014_1,,,
39,C002_014_2,2.274165903594656,-0.8038080237190774,0.6905107438790317
40,C002_014_1,2.190110477750851,-1.517530970250475,1.063540932948581
41,C002_014_2,1.717091626250226,-0.4694064290260979,0.07025009032154435
42,C002_015_1,2.3356398268096457,-1.3517498897067362,1.0766516318096135
43,C002_015_2,1.9129830239518608,-1.0340495513397059,0.6459785038557988
44,C002_016_1,2.3024987035840065,-1.4921295205560137,1.0914594297114157
45,C002_016_2,1.716432637896787,-1.104676640761409,0.4215425645951066
46,K001_003_1,2.5268941065591553,-2.180901453765491,1.412622737666452
47,K001_003_2,1.8298078556998194,-0.7548158924450689,0.5249650991686682
48,K001_003_1,2.4509177652516474,-1.7889719497976817,1.15941256689701
